album_name,album_artist,url_links,genre,tlmc_path,internal album_id
1st Anniversary,bunny rhyTHm,,,[bunny rhyTHm]/2017.10.29 [BRTH-003.5] 1st Anniversary [YACA54],94
1st Demo C80,NAGATOMO,http://nagatomo-music.seesaa.net/article/219489510.html,Rock,[NAGATOMO]/2011.08.13 NAGATOMO 1st Demo C80 [C80],95
1st demo remix,Discovering the Place,http://discoveringtheplace.web.fc2.com/C85.html,Metal,[Discovering the Place]/2013.12.30 1st demo remix [C85],97
1st DEMO,DHS,,Rock，Metal,[DHS]/2011.05.01 1st DEMO [M3-27],99
1st MOVEMENT,インスタントフィルハーモニー,http://instantphil.iza-yoi.net/r13.html,Classic,[インスタントフィルハーモニー] Instant Philharmonic/2016.05.08 1st MOVEMENT [例大祭13],103
1st Step's Beat VIP,Illusionary Projections,https://illusionaryprojections.bandcamp.com/album/1st-steps-beat-vip,Dance,[Illusionary Projections]/2020.08.17 1st Step's Beat VIP [BBEX13],105
1⑨ -イチマルキュウ-,CYTOKINE,http://cytokine-web.com/archives/2011/03/03_221203.php,,[Cytokine]/2011.05.08 [CK-0019P] 1⑨ -イチマルキュウ- [例大祭8],106
2 ~ CREATE TO DESTROY,Holmgang Ov Gensokyo,https://twitter.com/ArmpitMaiden/status/1558978914126528512,Metal,[HOLMGANG OV GENSOKYO]/2022.08.14 2 ~ CREATE TO DESTROY [C100],109
200%東方カーニバル,Cis-Trance,http://technetium.jp/,,[Cis-Trance]/2011.05.08 [THCV-0002a] 200%東方カーニバル (非公式マスタリングミス修正版) [例大祭8],113
200%東方ハードコア,Cis-Trance,http://cis-trance.sblo.jp/article/186380513.html,Trance，Hardcore,[Cis-Trance]/2009.12.30 [CTCD-0013] 200%東方ハードコア [C77],114
2010博麗神社例大祭SP SharpEight 新作デモCD,Sharp Eight,,,[Sharp Eight]/2010.09.19 2010博麗神社例大祭SP SharpEight 新作デモCD [例大祭SP],116
2022冬おまけCD,暁Records,http://akatsuki-records.com/drcd0080_b-sides.html,,[暁Records]/2022.12.31 [DRCD-0081] 2022冬おまけCD [C101],135
211221,ついったー東方部,https://twitter.com/tanigon/status/1475475047217504258,Jazz,[ついったー東方部]/2021.12.31 211221 [C99],137
2chain,Studio “Syrup Comfiture”,http://www.syrufit.jp/2chain/,,[Studio “Syrup Comfiture”] Syrufit／Poplica＊/2011.10.16 [SSC-0011] 2chain [東方紅楼夢7],139
2nd Anniversary,bunny rhyTHm,https://weibo.com/6027435934/H72no20hD,,[bunny rhyTHm]/2017.10.29 [BRTH-003.5] 1st Anniversary [YACA54],143
2nd EP,Golden Pe Done,http://goldenpedone1.web.fc2.com/music.html,,[Golden Pe Done]/2009.08.15 2nd EP [C76],145
2面に進めませんっ！！,dBu music,http://www.dobuusagi.com/dBu8th/index.htm,,[dBu music]/2006.12.31 [DBCD-0008] 2面に進めませんっ！！ [C71],149
東方自作アレンジ,310kent,https://www.nicovideo.jp/series/22101,,[inori]/2018.04.15 東方自作アレンジ,151
365,intelligencecasino,https://66clown.bandcamp.com/album/365,House，Rock,[intelligencecasino]/2022.08.27 365,155
38VOCAL BEST！,38BEETS,http://38beets.com/works/works#15,,[38BEETS]/2011.09.11 [38CD-0015] 38VOCAL BEST! [例大祭SP2],158
3guinem Animus,暴LADY,,Rock,[暴LADY]/2013.12.30 3guinem Animus [C85],161
3in1CD 彷徨いの冥,少女フラクタル,http://yuuhei-satellite.sakura.ne.jp/12606,,[少女フラクタル]/2015.05.10 [SJFT-0003] 彷徨いの冥 [例大祭12],166
3in1CD「聖人の調律」,少女フラクタル,http://yuuhei-satellite.sakura.ne.jp/14897,Rock，Misc Electronic，Jpop,[少女フラクタル]/2015.12.30 [SJFT-0008] 聖人の調律 [C89],176
3in1CD 色は匂へど散りぬるを,少女フラクタル,http://yuuhei-satellite.sakura.ne.jp/15402,,[少女フラクタル]/2015.08.14 [SJFT-0006] 色は匂へど散りぬるを [C88],179
3in1CD 色は匂へど散りぬるを,幽闭星光,http://yuuhei-satellite.sakura.ne.jp/15402,,[少女フラクタル]/2015.08.14 [SJFT-0006] 色は匂へど散りぬるを [C88],179
3rd Anniversary,bunny rhyTHm,,,[bunny rhyTHm]/2017.10.29 [BRTH-003.5] 1st Anniversary [YACA54],185
3rd Sphere,Studio K.N.S.,,,[Studio K.N.S.]/2010.08.14 [KN-0003] 3rd Sphere [C78],190
3／4～three times of the east～,回路-kairo-,http://www.k-a-i-r-o.com/toho01.html,Rock,[回路-kairo-]/2010.03.14 3／4～three times of the east～ [例大祭7],197
4 Souls in Sorrow,Cursed Monastery,http://distantphantasm.com/CursedDPC/,Trance,[Cursed Monastery]/2012.07.14 4 Souls in Sorrow -Remaster,198
4 tracing heart,Retractable,http://chip.main.jp/Retractable/4/,Jazz，Video Game Music,[Retractable]/2016.05.08 4 tracing heart [例大祭13],199
404 Not Founds,404 Not Founds,http://404notfounds.yukimizake.net/works.html#Best1,Rock,[404 Not Founds]/2011.05.08 404 [例大祭8],201
42 –the mirror image,AsparTateRecords,http://blog.sina.com.cn/s/blog_699b8e3701012vs9.html,Jpop，House，Trance,[AsparTateRecords]/2012.08.11 42 –the mirror image [C82],202
46 ChordeR,ZYTOKINE,http://zytokine-web.com/C91_ZK4647/C91_46_47_TL.html#id0,Jpop，Rock,[ZYTOKINE]/2016.12.29 [CK-0046P] 46 CHORDER [C91],204
492357816,CYTOKINE,http://cytokine-web.com/archives/2009/12/19_200649.php,,[Cytokine]/2009.12.30 [CK-0015P] 492357816 [C77],205
4Q8Q,ZYTOKINE,http://zytokine-web.com/CK_4Q8Q_NC/17RTS14_48_49_TL.html#id0,Jpop，Trance，House，Misc Electronic,[ZYTOKINE]/2017.05.07 [CK-0048P] 4Q8Q [例大祭14],209
4SEASONS EP,Saga Infinity,"https://4seasonsep.tumblr.com/, https://sagarebelion.bandcamp.com/album/4seasons-ep",Misc Electronic，Hardcore,[Saga Infinity]/2017.08.11 [SGIY-0003] 4SEASONS EP [C92],210
4th Anniversary,bunny rhyTHm,https://t.bilibili.com/440446117365010524,,[bunny rhyTHm]/2017.10.29 [BRTH-003.5] 1st Anniversary [YACA54],211
5.0.5. ground zero,群雨アンブレイラ,http://hihu.club/505/,Metal,[群雨アンブレイラ]/2016.08.13 [MRSM-0014] 5.0.5. ground zero [C90],214
5.1.1.,群雨アンブレイラ,,Rock，Metal，Other/Misc,[群雨アンブレイラ]/2015.10.12 [MRSM-0010] 5.1.1. [科学世紀のカフェテラス5],215
東方自作アレンジ,500L／g,https://www.nicovideo.jp/series/22101,,[inori]/2018.04.15 東方自作アレンジ,151
50/50,ZYTOKINE,http://zytokine-web.com/C92_CK-0050P_50_50/,House，Trance，Dance，Misc Electronic，Jpop,[ZYTOKINE]/2017.08.11 [CK-0050P] 50／50 [C92],216
514,BubbleRecords,http://bubblerecords-web.com/discography.html#0016,Trance,[BubbleRecords]/2012.05.27 [BR-0016] 514 [例大祭9],217
53 Ghostory Cruise,梶迫小道具店,http://cjvk0024.tumblr.com/,,[梶迫小道具店]/2014.08.16 [CJVK-0024] 53 Ghostory Cruise [C86],220
53 minutes for excursion,梶迫小道具店,https://cjvk43.tumblr.com/,,[梶迫小道具店]/2017.09.18 [CJVK-0043] 53 minutes for excursion [科学世紀のカフェテラス（第7回）],221
556mm THE BEST Reverse,556ミリメートル,http://556mm.blog136.fc2.com/blog-entry-24.html,Trance，Eurobeat，Misc Electronic,[556ミリメートル]/2015.08.14 [MMCD-0014] 556mm THE BEST Reverse [C88],226
556mm THE BEST Vol.01 -Dancing Girls Best-,556ミリメートル,http://556mm.blog136.fc2.com/blog-date-201305.html,,[556ミリメートル]/2013.05.26 [MMCD-0005~6] 556mm THE BEST Vol.01 -Dancing Girls Best- [例大祭10],227
556mm THE BEST vol.02 -Dancing Girls Best-,556ミリメートル,http://556mm.blog136.fc2.com/blog-entry-24.html,Trance，Eurobeat，Misc Electronic,[556ミリメートル]/2015.08.14 [MMCD-0012~3] 556mm THE BEST vol.02 -Dancing Girls Best- [C88],228
5AM in GENSOUKYO TO-HO ChillOut Arrange Package,dat file records,https://datfile061.tumblr.com/,Misc Electronic，Trance,[dat file records]/2019.12.31 [DATFILE-061] 5AM in GENSOUKYO TO-HO ChillOut Arrange Package [C97],231
5th Anniversary,bunny rhyTHm,,,[bunny rhyTHm]/2017.10.29 [BRTH-003.5] 1st Anniversary [YACA54],232
5番テーブル8杯目 - EP,RoundLoudness,https://roundloudness.booth.pm/items/1055515,,[RoundLoudness]/2018.11.17 5番テーブル8杯目 - EP [APOLLO 第9回],233
